"sæson","hold","niveau_denne_sæson","placering","hændelse","kval_modstander","kval_resultat","niveau_næste_sæson_algoritme","niveau_næste_sæson_faktisk","christoffer_bekræftet","source_league_group_id","source_group_name_raw","source_group_type","source_match_id","related_qualification_group_ids"
"2014/2015","Værløse 2","1. division","1","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","4297","Grundspil","grundspil","","5227"
"2014/2015","Ikast","1. division","2","1. divisions kvalifikationsgruppe mod Ligaen","","","ikke fundet","ikke fundet","","4297","Grundspil","grundspil","","5232"
"2014/2015","KMB2010","1. division","3","1. divisions kvalifikationsgruppe mod Ligaen","","","ikke fundet","ikke fundet","","4297","Grundspil","grundspil","","5232"
"2014/2015","Lillerød","1. division","4","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","4297","Grundspil","grundspil","","5227"
"2014/2015","Solrød Strand 2","1. division","5","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","4297","Grundspil","grundspil","","5227"
"2014/2015","Aalborg Triton","1. division","6","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","4297","Grundspil","grundspil","","5227"
"2014/2015","Hillerød (O)","1. division","7","1. divisions nedrykningsspil mod 2. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","4297","Grundspil","grundspil","","5227"
"2014/2015","Odense OBK 2 (O)","1. division","8","1. divisions nedrykningsspil mod 2. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","4297","Grundspil","grundspil","","5227"
"2014/2015","Hvidovre (N)","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (N) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","4279","Pulje 1","grundspil","","5179"
"2014/2015","Aarhus AB 2","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","4279","Pulje 1","grundspil","","5179"
"2014/2015","Skovbakken (O)","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","4279","Pulje 1","grundspil","","5179"
"2014/2015","Højbjerg 2","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","4279","Pulje 1","grundspil","","5179"
"2014/2015","Ikast 2","2. division","5","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","4279","Pulje 1","grundspil","",""
"2014/2015","Badminton Esbjerg","2. division","6","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","4279","Pulje 1","grundspil","",""
"2014/2015","Horsens","2. division","7","forbliver i 2. division (midterfelt)","","","ikke fundet","ikke fundet","","4279","Pulje 1","grundspil","",""
"2014/2015","Aalborg Triton 2 (O)","2. division","8","forbliver i 2. division (midterfelt); BD (O) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","4279","Pulje 1","grundspil","",""
"2014/2015","Greve 2","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","4280","Pulje 2","grundspil","","5179"
"2014/2015","Skovshoved 2","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","4280","Pulje 2","grundspil","","5179"
"2014/2015","Gentofte 2 (N)","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (N) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","4280","Pulje 2","grundspil","","5179"
"2014/2015","Værløse 3 (O)","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","4280","Pulje 2","grundspil","","5179"
